Key,Id,English(en),Korean (South Korea)(ko-KR)
"EVENT01_TITLE",10212873330688,"EVENT01","이벤트01"
"EVENT01_DESCRIPTION",10356742152192,"EVENT01 DESC","이벤트01 설명"
"EVENT01_C1",10424383692800,"EVENT01_C1","이벤트01_C1"
"EVENT01_C2",10472060346368,"EVENT01_C2","이벤트01_C2"
"EVENT01_C3",10482164424704,"EVENT01_C3","이벤트01_C3"
"New Entry",19408658358272,,
"New Entry 1",19414089981952,,
"New Entry 2",19415889338368,,
"New Entry 3",19420444352512,,
"New Entry 4",19422335983616,,
"New Entry 5",19423577497600,,
"New Entry 6",19425427185664,,
"New Entry 7",19426677088256,,
"New Entry 8",19427813744640,,
"New Entry 9",19428979761152,,
"New Entry 10",19430099640320,,
"New Entry 11",19431295016960,,
"New Entry 12",19432465227776,,
"New Entry 13",19433576718336,,
"New Entry 14",19434952450048,,
